mekanizma;n;truth;Top50_icinde;Top50_orani;Top100_icinde;Top100_orani;Top200_icinde;Top200_orani
A01_tarihsel_dusus;9;9;5;0.5556;6;0.6667;7;0.7778
A02_emsal_alti;5;5;2;0.4;2;0.4;2;0.4
A03_beklenen_fark;10;8;4;0.4;7;0.7;9;0.9
A04_faaliyet_uyumsuz;9;9;3;0.3333;4;0.4444;5;0.5556
A06_mevsimsel_kirilma;3;3;1;0.3333;2;0.6667;2;0.6667
A07_urun_agaci_uyumsuz;5;5;1;0.2;3;0.6;4;0.8
A08_dis_kanit_uyumsuz;18;17;10;0.5556;12;0.6667;13;0.7222
N00_normal;895;37;10;0.0112;30;0.0335;91;0.1017
N09_veri_eksikligi;33;0;0;0.0;1;0.0303;5;0.1515
N10_mesru_gorunum;213;4;14;0.0657;33;0.1549;62;0.2911
